kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,8192,16,512,0.382687986,21406472.901931
sha3_512_n,8192,32,256,0.354528010,23106777.945435
sha3_512_n,8192,64,128,0.382207990,21433356.237756
sha3_512_n,8192,128,64,0.388256013,21099480.027111
sha3_512_n,8192,192,43,0.416384012,19674146.397578
sha3_512_n,8192,256,32,0.396575987,20656823.059226
sha3_512_n,8192,512,16,0.439936012,18620889.802147
gen_matrix_n,8192,16,512,40.532993317,202106.958546
gen_matrix_n,8192,32,256,30.771200180,266222.960173
gen_matrix_n,8192,64,128,30.887935638,265216.817851
gen_matrix_n,8192,128,64,32.183296204,254541.981908
gen_matrix_n,8192,192,43,30.304256439,270325.061974
gen_matrix_n,8192,256,32,32.792575836,249812.641768
poly_getnoise,8192,16,512,2.192384243,3736571.281295
poly_getnoise,8192,32,256,1.490944028,5494505.391684
poly_getnoise,8192,64,128,1.460223913,5610098.510227
poly_getnoise,8192,128,64,1.491967797,5490735.131776
poly_getnoise,8192,192,43,1.555455804,5266623.442217
poly_getnoise,8192,256,32,1.570815921,5215124.122038
polyvec_ntt_n,8192,16,512,60.763137817,134818.580710
polyvec_ntt_n,8192,32,256,36.383743286,225155.502433
polyvec_ntt_n,8192,64,128,36.135936737,226699.533476
polyvec_ntt_n,8192,128,64,35.708927155,229410.420664
polyvec_ntt_n,8192,192,43,36.586494446,223907.759519
polyvec_ntt_n,8192,256,32,34.630657196,236553.408549
polyvec_ntt_n,8192,512,16,37.315582275,219532.953808
polyvec_ntt_n,8192,1024,8,37.610496521,217811.535549
polyvec_pointwise_acc_n,8192,16,512,70.692863464,115881.569914
polyvec_pointwise_acc_n,8192,32,256,33.645565033,243479.340947
polyvec_pointwise_acc_n,8192,64,128,33.134593964,247234.054203
polyvec_pointwise_acc_n,8192,128,64,33.404926300,245233.290636
polyvec_pointwise_acc_n,8192,192,43,33.496063232,244566.053723
polyvec_pointwise_acc_n,8192,256,32,33.354751587,245602.188901
polyvec_pointwise_acc_n,8192,512,16,34.478084564,237600.206147
polyvec_pointwise_acc_n,8192,1024,8,39.311359406,208387.604089
poly_frommont_n,8192,16,512,0.841727972,9732360.420715
poly_frommont_n,8192,32,256,0.413695991,19801980.626934
poly_frommont_n,8192,64,128,0.436223984,18779343.421933
poly_frommont_n,8192,128,64,0.428032011,19138755.498239
poly_frommont_n,8192,192,43,0.427008003,19184652.143553
poly_frommont_n,8192,256,32,0.432128012,18957345.437216
poly_frommont_n,8192,512,16,0.429056019,19093077.931650
poly_frommont_n,8192,1024,8,0.427008003,19184652.143553
polyvec_add_n,8192,16,512,3.871744156,2115842.284556
polyvec_add_n,8192,32,256,2.098176003,3904343.577579
polyvec_add_n,8192,64,128,2.146304131,3816793.660964
polyvec_add_n,8192,128,64,2.115583897,3872217.033332
polyvec_add_n,8192,192,43,2.121727943,3861003.963964
polyvec_add_n,8192,256,32,2.116607904,3870343.667733
polyvec_add_n,8192,512,16,2.084863901,3929273.270801
polyvec_add_n,8192,1024,8,2.115583897,3872217.033332
polyvec_reduce_n,8192,16,512,2.774015903,2953119.334948
polyvec_reduce_n,8192,32,256,0.814080000,10062893.082704
polyvec_reduce_n,8192,64,128,0.830464005,9864364.916528
polyvec_reduce_n,8192,128,64,0.820223987,9987515.762540
polyvec_reduce_n,8192,192,43,0.835584044,9803921.047019
polyvec_reduce_n,8192,256,32,0.838655949,9768010.366224
polyvec_reduce_n,8192,512,16,0.841727972,9732360.420715
polyvec_reduce_n,8192,1024,8,0.851967990,9615384.723749
pack_sk_n,8192,16,512,4.198400021,1951219.502622
pack_sk_n,8192,32,256,3.149823904,2600780.313306
pack_sk_n,8192,64,128,3.154943943,2596559.605477
pack_sk_n,8192,128,64,3.269632101,2505480.661677
pack_sk_n,8192,192,43,3.119103909,2626395.349502
pack_sk_n,8192,256,32,4.286464214,1911132.250358
pack_sk_n,8192,512,16,5.373951912,1524390.268886
pack_sk_n,8192,1024,8,4.190207958,1955034.232591
pack_pk_n,8192,16,512,5.182464123,1580715.236214
pack_pk_n,8192,32,256,3.297280073,2484471.994560
pack_pk_n,8192,64,128,3.313663960,2472187.916492
pack_pk_n,8192,128,64,4.035583973,2029941.652794
pack_pk_n,8192,192,43,3.231744051,2534854.205894
pack_pk_n,8192,256,32,4.213759899,1944106.972415
pack_pk_n,8192,512,16,5.242879868,1562500.039472
pack_pk_n,8192,1024,8,4.403200150,1860465.053096
unpack_pk_n,8192,16,512,2.048000097,3999999.810010
unpack_pk_n,8192,32,256,1.294335961,6329114.113083
unpack_pk_n,8192,64,128,1.293311954,6334125.326491
unpack_pk_n,8192,128,64,1.350656033,6065200.763557
unpack_pk_n,8192,192,43,1.282047987,6389776.422698
unpack_pk_n,8192,256,32,2.043904066,4008015.902472
unpack_pk_n,8192,512,16,2.340863943,3499562.639745
unpack_pk_n,8192,1024,8,2.320384026,3530450.093482
poly_frommsg_n,8192,16,512,0.084991999,96385543.336174
poly_frommsg_n,8192,32,256,0.064511999,126984127.992180
poly_frommsg_n,8192,64,128,0.065536000,125000000.315595
poly_frommsg_n,8192,128,64,0.059392001,137931031.045946
poly_frommsg_n,8192,192,43,0.061439998,133333336.701617
poly_frommsg_n,8192,256,32,0.063487999,129032259.809898
poly_frommsg_n,8192,512,16,0.075776003,108108103.398433
poly_frommsg_n,8192,1024,8,0.075776003,108108103.398433
polyvec_invntt_n,8192,16,512,13.216768265,619818.690613
polyvec_invntt_n,8192,32,256,7.162879944,1143674.061861
polyvec_invntt_n,8192,64,128,7.234560013,1132342.531610
polyvec_invntt_n,8192,128,64,7.528448105,1088139.266672
polyvec_invntt_n,8192,192,43,7.098368168,1154068.062723
polyvec_invntt_n,8192,256,32,7.303167820,1121705.019237
polyvec_invntt_n,8192,512,16,7.460864067,1097996.147142
polyvec_invntt_n,8192,1024,8,7.299071789,1122334.488145
poly_invntt_n,8192,16,512,6.585344315,1243974.439099
poly_invntt_n,8192,32,256,2.727936029,3003002.970601
poly_invntt_n,8192,64,128,2.710527897,3022289.499188
poly_invntt_n,8192,128,64,2.690047979,3045298.843318
poly_invntt_n,8192,192,43,2.722815990,3008649.878926
poly_invntt_n,8192,256,32,2.723839998,3007518.798930
poly_invntt_n,8192,512,16,2.732031822,2998500.944762
poly_invntt_n,8192,1024,8,2.771967888,2955301.190834
poly_add_n,8192,16,512,0.487424016,16806722.137424
poly_add_n,8192,32,256,0.236544013,34632032.725303
poly_add_n,8192,64,128,0.252927989,32388665.405972
poly_add_n,8192,128,64,0.240640014,34042551.152951
poly_add_n,8192,192,43,0.244735986,33472805.262850
poly_add_n,8192,256,32,0.242688000,33755274.233482
poly_add_n,8192,512,16,0.242688000,33755274.233482
poly_add_n,8192,1024,8,0.235520005,34782607.923834
poly_reduce_n,8192,16,512,0.424960017,19277107.653311
poly_reduce_n,8192,32,256,0.206847996,39603961.253868
poly_reduce_n,8192,64,128,0.215039998,38095238.397654
poly_reduce_n,8192,128,64,0.210943997,38834952.025867
