kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,512,16,32,0.444447994,1151990.799024
sha3_512_n,512,32,16,0.432415992,1184045.015556
sha3_512_n,512,64,8,0.438336015,1168053.691173
sha3_512_n,512,128,4,0.427648008,1197246.311401
sha3_512_n,512,192,3,0.439168006,1165840.846312
sha3_512_n,512,256,2,0.455839992,1123201.143974
sha3_512_n,512,512,1,0.472447991,1083717.169617
gen_matrix_n,512,16,32,5.885951996,86986.778071
gen_matrix_n,512,32,16,6.765567780,75677.314408
gen_matrix_n,512,64,8,6.118399620,83682.013565
gen_matrix_n,512,128,4,6.338560104,80775.442935
gen_matrix_n,512,192,3,8.442880630,60642.809298
gen_matrix_n,512,256,2,8.435711861,60694.344290
poly_getnoise,512,16,32,0.538623989,950570.362274
poly_getnoise,512,32,16,0.546816051,936329.500675
poly_getnoise,512,64,8,0.549888074,931098.570487
poly_getnoise,512,128,4,0.553984046,924214.341032
poly_getnoise,512,192,3,0.586751997,872600.352801
poly_getnoise,512,256,2,0.617471993,829187.405793
polyvec_ntt_n,512,16,32,15.880191803,32241.424181
polyvec_ntt_n,512,32,16,16.455680847,31113.875187
polyvec_ntt_n,512,64,8,16.260095596,31488.129757
polyvec_ntt_n,512,128,4,15.718400002,32573.289899
polyvec_ntt_n,512,192,3,16.722944260,30616.618225
polyvec_ntt_n,512,256,2,15.781887054,32442.254734
polyvec_ntt_n,512,512,1,17.020929337,30080.613689
polyvec_ntt_n,512,1024,1,18.063360214,28344.670866
polyvec_pointwise_acc_n,512,16,32,19.990526199,25612.132212
polyvec_pointwise_acc_n,512,32,16,21.652481079,23646.250891
polyvec_pointwise_acc_n,512,64,8,21.369855881,23958.982356
polyvec_pointwise_acc_n,512,128,4,20.811775208,24601.457343
polyvec_pointwise_acc_n,512,192,3,22.002687454,23269.884693
polyvec_pointwise_acc_n,512,256,2,20.668415070,24772.097825
polyvec_pointwise_acc_n,512,512,1,22.205440521,23057.412417
