kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,256,16,16,0.429728001,595725.666450
sha3_512_n,256,32,8,0.405984014,630566.699673
sha3_512_n,256,64,4,0.398463994,642467.082810
sha3_512_n,256,128,2,0.402240008,636435.945791
sha3_512_n,256,192,2,0.431392014,593427.767961
sha3_512_n,256,256,1,0.432671994,591672.221838
sha3_512_n,256,512,1,0.452511996,565730.858509
gen_matrix_n,256,16,16,6.292479992,40683.482558
gen_matrix_n,256,32,8,6.021120071,42517.006298
gen_matrix_n,256,64,4,6.065152168,42208.339197
gen_matrix_n,256,128,2,6.552576065,39068.604082
gen_matrix_n,256,192,2,7.913471699,32349.897712
gen_matrix_n,256,256,1,8.608768463,29737.122226
poly_getnoise,256,16,16,0.535552025,478011.450103
poly_getnoise,256,32,8,0.537599981,476190.493170
poly_getnoise,256,64,4,0.551936030,463821.866857
poly_getnoise,256,128,2,0.557056069,459558.766297
poly_getnoise,256,192,2,0.581631958,440140.876487
poly_getnoise,256,256,1,0.617471993,414593.702896
polyvec_ntt_n,256,16,16,16.564224243,15454.994828
polyvec_ntt_n,256,32,8,15.321087837,16708.996301
polyvec_ntt_n,256,64,4,16.148479462,15852.885754
polyvec_ntt_n,256,128,2,16.602111816,15419.725083
polyvec_ntt_n,256,192,2,15.903743744,16096.838840
polyvec_ntt_n,256,256,1,14.917632103,17160.900486
polyvec_ntt_n,256,512,1,16.726016998,15305.496821
polyvec_ntt_n,256,1024,1,15.398911476,16624.551703
polyvec_pointwise_acc_n,256,16,16,21.560319901,11873.664268
polyvec_pointwise_acc_n,256,32,8,20.305921555,12607.159902
polyvec_pointwise_acc_n,256,64,4,20.015104294,12790.340547
polyvec_pointwise_acc_n,256,128,2,21.440511703,11940.013538
polyvec_pointwise_acc_n,256,192,2,20.775936127,12321.947778
polyvec_pointwise_acc_n,256,256,1,21.019649506,12179.080338
polyvec_pointwise_acc_n,256,512,1,21.985280991,11644.154110
polyvec_pointwise_acc_n,256,1024,1,20.980737686,12201.668208
poly_frommont_n,256,16,16,0.294912010,868055.524852
poly_frommont_n,256,32,8,0.292864025,874125.800584
poly_frommont_n,256,64,4,0.293888003,871080.131566
poly_frommont_n,256,128,2,0.294911981,868055.612573
poly_frommont_n,256,192,2,0.294912010,868055.524852
poly_frommont_n,256,256,1,0.294912010,868055.524852
poly_frommont_n,256,512,1,0.295935988,865051.936946
poly_frommont_n,256,1024,1,0.295935988,865051.936946
polyvec_add_n,256,16,16,0.496639997,515463.920881
polyvec_add_n,256,32,8,0.492543995,519750.524625
polyvec_add_n,256,64,4,0.495615989,516528.937115
polyvec_add_n,256,128,2,0.493568003,518672.195831
polyvec_add_n,256,192,2,0.496639997,515463.920881
