kernel,batch,block,grid,median_total_ms,throughput_ops_s
poly_invntt_n,1,32,1,0.818176031,1222.230867
poly_invntt_n,1,64,1,0.817152023,1223.762496
poly_invntt_n,1,128,1,0.819199979,1220.703156
poly_invntt_n,1,192,1,0.816128016,1225.297969
poly_invntt_n,1,256,1,0.818176031,1222.230867
poly_invntt_n,1,512,1,0.819199979,1220.703156
poly_invntt_n,1,1024,1,0.814080000,1228.380503
poly_add_n,1,16,1,0.123903997,8070.764642
poly_add_n,1,32,1,0.124927998,8004.610810
poly_add_n,1,64,1,0.124927998,8004.610810
poly_add_n,1,128,1,0.124927998,8004.610810
poly_add_n,1,192,1,0.123903997,8070.764642
poly_add_n,1,256,1,0.123903997,8070.764642
poly_add_n,1,512,1,0.123903997,8070.764642
poly_add_n,1,1024,1,0.124927998,8004.610810
poly_reduce_n,1,16,1,0.143360004,6975.446242
poly_reduce_n,1,32,1,0.143360004,6975.446242
poly_reduce_n,1,64,1,0.144383997,6925.975334
poly_reduce_n,1,128,1,0.143360004,6975.446242
poly_reduce_n,1,192,1,0.143360004,6975.446242
poly_reduce_n,1,256,1,0.143360004,6975.446242
poly_reduce_n,1,512,1,0.142336011,7025.628957
poly_reduce_n,1,1024,1,0.118624002,8429.997179
pack_ciphertext_n,1,16,1,0.422912002,2364.558102
pack_ciphertext_n,1,32,1,0.423936009,2358.846566
pack_ciphertext_n,1,64,1,0.422912002,2364.558102
pack_ciphertext_n,1,128,1,0.422912002,2364.558102
pack_ciphertext_n,1,192,1,0.421887994,2370.297365
pack_ciphertext_n,1,256,1,0.422912002,2364.558102
pack_ciphertext_n,1,512,1,0.422912002,2364.558102
pack_ciphertext_n,1,1024,1,0.424959987,2353.162720
unpack_ciphertext_n,1,16,1,0.177151993,5644.870168
unpack_ciphertext_n,1,32,1,0.176128000,5677.688953
unpack_ciphertext_n,1,64,1,0.177151993,5644.870168
unpack_ciphertext_n,1,128,1,0.177151993,5644.870168
unpack_ciphertext_n,1,192,1,0.177151993,5644.870168
unpack_ciphertext_n,1,256,1,0.176128000,5677.688953
unpack_ciphertext_n,1,512,1,0.176128000,5677.688953
unpack_ciphertext_n,1,1024,1,0.176128000,5677.688953
unpack_sk_n,1,16,1,0.129023999,7750.496093
unpack_sk_n,1,32,1,0.129023999,7750.496093
unpack_sk_n,1,64,1,0.128000006,7812.499629
unpack_sk_n,1,128,1,0.129023999,7750.496093
unpack_sk_n,1,192,1,0.128000006,7812.499629
unpack_sk_n,1,256,1,0.129023999,7750.496093
unpack_sk_n,1,512,1,0.129023999,7750.496093
unpack_sk_n,1,1024,1,0.129023999,7750.496093
poly_sub_n,1,16,1,0.062463999,16009.221620
poly_sub_n,1,32,1,0.062463999,16009.221620
poly_sub_n,1,64,1,0.062463999,16009.221620
poly_sub_n,1,128,1,0.063487999,15751.008278
poly_sub_n,1,192,1,0.062463999,16009.221620
poly_sub_n,1,256,1,0.062463999,16009.221620
poly_sub_n,1,512,1,0.062463999,16009.221620
poly_sub_n,1,1024,1,0.061439998,16276.042078
poly_tomsg_n,1,16,1,0.108543999,9212.853817
poly_tomsg_n,1,32,1,0.108543999,9212.853817
poly_tomsg_n,1,64,1,0.108543999,9212.853817
poly_tomsg_n,1,128,1,0.108543999,9212.853817
poly_tomsg_n,1,192,1,0.108543999,9212.853817
poly_tomsg_n,1,256,1,0.108543999,9212.853817
poly_tomsg_n,1,512,1,0.108543999,9212.853817
poly_tomsg_n,1,1024,1,0.108543999,9212.853817
sha3_512_n,32,16,2,0.054336000,588928.148231
sha3_512_n,32,32,1,0.431488007,74161.968486
sha3_512_n,32,64,1,0.431456000,74167.470214
sha3_512_n,32,128,1,0.437088013,73211.799616
sha3_512_n,32,192,1,0.431392014,74178.470995
sha3_512_n,32,256,1,0.442559987,72306.581973
sha3_512_n,32,512,1,0.435072005,73551.043614
gen_matrix_n,32,16,2,3.199968100,10000.099690
gen_matrix_n,32,32,1,6.511615753,4914.294887
gen_matrix_n,32,64,1,6.274047852,5100.375508
gen_matrix_n,32,128,1,5.908479691,5415.944824
gen_matrix_n,32,192,1,6.089727879,5254.750399
gen_matrix_n,32,256,1,6.241280079,5127.153340
poly_getnoise,32,16,2,0.503071964,63609.189745
poly_getnoise,32,32,1,0.550912023,58085.499477
poly_getnoise,32,64,1,0.543744028,58851.221117
poly_getnoise,32,128,1,0.545792043,58630.389355
poly_getnoise,32,192,1,0.551936090,57977.727096
poly_getnoise,32,256,1,0.552960038,57870.366374
polyvec_ntt_n,32,16,2,10.003263474,3198.956029
polyvec_ntt_n,32,32,1,16.237567902,1970.738487
polyvec_ntt_n,32,64,1,15.680512428,2040.749634
polyvec_ntt_n,32,128,1,15.845376968,2019.516485
polyvec_ntt_n,32,192,1,15.813632965,2023.570426
polyvec_ntt_n,32,256,1,15.819776535,2022.784578
polyvec_ntt_n,32,512,1,15.545343399,2058.494250
polyvec_ntt_n,32,1024,1,15.641599655,2045.826559
polyvec_pointwise_acc_n,32,16,2,11.110208511,2880.233973
polyvec_pointwise_acc_n,32,32,1,20.873216629,1533.065103
polyvec_pointwise_acc_n,32,64,1,20.430849075,1566.258939
polyvec_pointwise_acc_n,32,128,1,19.578880310,1634.414200
polyvec_pointwise_acc_n,32,192,1,19.299327850,1658.088833
polyvec_pointwise_acc_n,32,256,1,20.327425003,1574.227921
polyvec_pointwise_acc_n,32,512,1,18.867200851,1696.065052
polyvec_pointwise_acc_n,32,1024,1,19.735551834,1621.439333
poly_frommont_n,32,16,2,0.243456006,131440.585587
poly_frommont_n,32,32,1,0.263168037,121595.313672
poly_frommont_n,32,64,1,0.289792001,110424.027793
poly_frommont_n,32,128,1,0.289792001,110424.027793
poly_frommont_n,32,192,1,0.289792001,110424.027793
poly_frommont_n,32,256,1,0.288767993,110815.605350
poly_frommont_n,32,512,1,0.290816009,110035.207845
poly_frommont_n,32,1024,1,0.288767993,110815.605350
polyvec_add_n,32,16,2,0.477183998,67060.086170
polyvec_add_n,32,32,1,0.486400008,65789.472575
polyvec_add_n,32,64,1,0.487423986,65651.262363
polyvec_add_n,32,128,1,0.485376000,65928.269987
polyvec_add_n,32,192,1,0.487423986,65651.262363
polyvec_add_n,32,256,1,0.484351993,66067.654285
polyvec_add_n,32,512,1,0.486400008,65789.472575
polyvec_add_n,32,1024,1,0.487423986,65651.262363
polyvec_reduce_n,32,16,2,0.479167998,66782.423168
polyvec_reduce_n,32,32,1,0.565248013,56612.317584
polyvec_reduce_n,32,64,1,0.565248013,56612.317584
polyvec_reduce_n,32,128,1,0.565248013,56612.317584
polyvec_reduce_n,32,192,1,0.565248013,56612.317584
polyvec_reduce_n,32,256,1,0.565248013,56612.317584
polyvec_reduce_n,32,512,1,0.565248013,56612.317584
polyvec_reduce_n,32,1024,1,0.565248013,56612.317584
pack_sk_n,32,16,2,0.375808001,85149.863632
pack_sk_n,32,32,1,0.397311985,80541.240054
pack_sk_n,32,64,1,0.397311985,80541.240054
pack_sk_n,32,128,1,0.397311985,80541.240054
pack_sk_n,32,192,1,0.397311985,80541.240054
pack_sk_n,32,256,1,0.397311985,80541.240054
pack_sk_n,32,512,1,0.397311985,80541.240054
pack_sk_n,32,1024,1,0.397311985,80541.240054
pack_pk_n,32,16,2,0.377855986,84688.349941
pack_pk_n,32,32,1,0.402431995,79516.540492
pack_pk_n,32,64,1,0.400384009,79923.271884
pack_pk_n,32,128,1,0.402431995,79516.540492
pack_pk_n,32,192,1,0.400384009,79923.271884
pack_pk_n,32,256,1,0.402431995,79516.540492
pack_pk_n,32,512,1,0.402431995,79516.540492
pack_pk_n,32,1024,1,0.402431995,79516.540492
unpack_pk_n,32,16,2,0.150527999,212585.035701
unpack_pk_n,32,32,1,0.171008006,187125.742224
unpack_pk_n,32,64,1,0.171008006,187125.742224
unpack_pk_n,32,128,1,0.171008006,187125.742224
unpack_pk_n,32,192,1,0.172031999,186011.906239
unpack_pk_n,32,256,1,0.169983998,188253.014328
unpack_pk_n,32,512,1,0.171008006,187125.742224
unpack_pk_n,32,1024,1,0.171008006,187125.742224
poly_frommsg_n,32,16,2,0.036832001,868809.705659
poly_frommsg_n,32,32,1,0.039935999,801282.078999
poly_frommsg_n,32,64,1,0.039935999,801282.078999
poly_frommsg_n,32,128,1,0.039935999,801282.078999
poly_frommsg_n,32,192,1,0.039935999,801282.078999
poly_frommsg_n,32,256,1,0.039935999,801282.078999
poly_frommsg_n,32,512,1,0.039935999,801282.078999
poly_frommsg_n,32,1024,1,0.039935999,801282.078999
polyvec_invntt_n,32,16,2,2.029567957,15766.902454
polyvec_invntt_n,32,32,1,3.283967972,9744.309407
polyvec_invntt_n,32,64,1,3.175424099,10077.394075
polyvec_invntt_n,32,128,1,3.256320000,9827.044026
polyvec_invntt_n,32,192,1,2.533375978,12631.366316
polyvec_invntt_n,32,256,1,3.259392023,9817.781897
polyvec_invntt_n,32,512,1,2.813951969,11371.906966
polyvec_invntt_n,32,1024,1,3.266560078,9796.238012
poly_invntt_n,32,16,2,0.819040000,39070.130864
poly_invntt_n,32,32,1,0.812031984,39407.314758
poly_invntt_n,32,64,1,0.811007977,39457.071849
poly_invntt_n,32,128,1,0.808959961,39556.963935
poly_invntt_n,32,192,1,0.811007977,39457.071849
poly_invntt_n,32,256,1,0.808960021,39556.961021
poly_invntt_n,32,512,1,0.811007977,39457.071849
poly_invntt_n,32,1024,1,0.812031984,39407.314758
poly_add_n,32,16,2,0.125952005,254065.029785
poly_add_n,32,32,1,0.129023999,248015.874985
poly_add_n,32,64,1,0.127999991,250000.017229
poly_add_n,32,128,1,0.127999991,250000.017229
poly_add_n,32,192,1,0.127999991,250000.017229
poly_add_n,32,256,1,0.129023999,248015.874985
poly_add_n,32,512,1,0.129023999,248015.874985
poly_add_n,32,1024,1,0.129023999,248015.874985
poly_reduce_n,32,16,2,0.114688002,279017.853316
poly_reduce_n,32,32,1,0.144383997,221631.210701
poly_reduce_n,32,64,1,0.144383997,221631.210701
poly_reduce_n,32,128,1,0.143360004,223214.279752
poly_reduce_n,32,192,1,0.144383997,221631.210701
poly_reduce_n,32,256,1,0.143360004,223214.279752
poly_reduce_n,32,512,1,0.144383997,221631.210701
poly_reduce_n,32,1024,1,0.143360004,223214.279752
pack_ciphertext_n,32,16,2,0.427008003,74940.047436
pack_ciphertext_n,32,32,1,0.992255986,32249.742466
pack_ciphertext_n,32,64,1,0.962559998,33244.680919
pack_ciphertext_n,32,128,1,0.987136006,32417.012239
pack_ciphertext_n,32,192,1,0.992255986,32249.742466
pack_ciphertext_n,32,256,1,0.985087991,32484.407789
pack_ciphertext_n,32,512,1,0.962559998,33244.680919
pack_ciphertext_n,32,1024,1,0.986111999,32450.675021
unpack_ciphertext_n,32,16,2,0.196608007,162760.410910
unpack_ciphertext_n,32,32,1,0.220159993,145348.842111
unpack_ciphertext_n,32,64,1,0.221184000,144675.925682
unpack_ciphertext_n,32,128,1,0.221184000,144675.925682
unpack_ciphertext_n,32,192,1,0.221184000,144675.925682
unpack_ciphertext_n,32,256,1,0.221184000,144675.925682
unpack_ciphertext_n,32,512,1,0.220159993,145348.842111
unpack_ciphertext_n,32,1024,1,0.221184000,144675.925682
unpack_sk_n,32,16,2,0.149504006,214041.087431
unpack_sk_n,32,32,1,0.169983998,188253.014328
unpack_sk_n,32,64,1,0.169983998,188253.014328
unpack_sk_n,32,128,1,0.169983998,188253.014328
unpack_sk_n,32,192,1,0.169983998,188253.014328
unpack_sk_n,32,256,1,0.171008006,187125.742224
unpack_sk_n,32,512,1,0.169983998,188253.014328
unpack_sk_n,32,1024,1,0.171008006,187125.742224
poly_sub_n,32,16,2,0.062463999,512295.091854
poly_sub_n,32,32,1,0.065536000,488281.251233
poly_sub_n,32,64,1,0.065536000,488281.251233
poly_sub_n,32,128,1,0.065536000,488281.251233
poly_sub_n,32,192,1,0.065536000,488281.251233
poly_sub_n,32,256,1,0.065536000,488281.251233
poly_sub_n,32,512,1,0.065536000,488281.251233
poly_sub_n,32,1024,1,0.065536000,488281.251233
poly_tomsg_n,32,16,2,0.090048000,355366.026153
poly_tomsg_n,32,32,1,0.115712002,276548.667978
poly_tomsg_n,32,64,1,0.114688002,279017.853316
poly_tomsg_n,32,128,1,0.114688002,279017.853316
poly_tomsg_n,32,192,1,0.114688002,279017.853316
poly_tomsg_n,32,256,1,0.115712002,276548.667978
poly_tomsg_n,32,512,1,0.114688002,279017.853316
poly_tomsg_n,32,1024,1,0.114688002,279017.853316
sha3_512_n,64,16,4,0.415935993,153869.828645
sha3_512_n,64,32,2,0.440896004,145158.947588
sha3_512_n,64,64,1,0.414016008,154583.394615
sha3_512_n,64,128,1,0.428864002,149231.457216
sha3_512_n,64,192,1,0.398144007,160745.858077
sha3_512_n,64,256,1,0.439359993,145666.426295
sha3_512_n,64,512,1,0.433151990,147754.140467
gen_matrix_n,64,16,4,5.554175854,11522.861660
gen_matrix_n,64,32,2,6.261759758,10220.768997
gen_matrix_n,64,64,1,6.381567955,10028.883254
gen_matrix_n,64,128,1,6.367231846,10051.463736
gen_matrix_n,64,192,1,6.317055702,10131.302147
gen_matrix_n,64,256,1,6.362112045,10059.552479
poly_getnoise,64,16,4,0.541696012,118147.445393
poly_getnoise,64,32,2,0.550912023,116170.998954
poly_getnoise,64,64,1,0.553984046,115526.792629
poly_getnoise,64,128,1,0.548864067,116604.463463
poly_getnoise,64,192,1,0.552960038,115740.732748
poly_getnoise,64,256,1,0.553984046,115526.792629
polyvec_ntt_n,64,16,4,15.638528824,4092.456568
polyvec_ntt_n,64,32,2,14.982143402,4271.751930
polyvec_ntt_n,64,64,1,14.602239609,4382.889318
polyvec_ntt_n,64,128,1,16.540672302,3869.250223
polyvec_ntt_n,64,192,1,14.812160492,4320.774139
polyvec_ntt_n,64,256,1,16.321535110,3921.199787
polyvec_ntt_n,64,512,1,16.350208282,3914.323224
polyvec_ntt_n,64,1024,1,16.397312164,3903.078709
polyvec_pointwise_acc_n,64,16,4,19.790847778,3233.818011
polyvec_pointwise_acc_n,64,32,2,20.267007828,3157.841579
polyvec_pointwise_acc_n,64,64,1,19.568641663,3270.538707
polyvec_pointwise_acc_n,64,128,1,20.759552002,3082.918167
polyvec_pointwise_acc_n,64,192,1,19.786750793,3234.487596
polyvec_pointwise_acc_n,64,256,1,20.896766663,3062.674768
polyvec_pointwise_acc_n,64,512,1,20.179967880,3171.461936
polyvec_pointwise_acc_n,64,1024,1,20.818943024,3074.123404
poly_frommont_n,64,16,4,0.293888003,217770.032891
poly_frommont_n,64,32,2,0.291840017,219298.232958
poly_frommont_n,64,64,1,0.290816009,220070.415691
poly_frommont_n,64,128,1,0.292863995,218531.472384
poly_frommont_n,64,192,1,0.286720008,223214.279752
poly_frommont_n,64,256,1,0.284672022,224820.126616
poly_frommont_n,64,512,1,0.284672022,224820.126616
poly_frommont_n,64,1024,1,0.292864025,218531.450146
polyvec_add_n,64,16,4,0.484351993,132135.308571
polyvec_add_n,64,32,2,0.488447994,131027.255280
polyvec_add_n,64,64,1,0.489472002,130753.137597
polyvec_add_n,64,128,1,0.489471972,130753.145558
polyvec_add_n,64,192,1,0.489472002,130753.137597
polyvec_add_n,64,256,1,0.488447994,131027.255280
polyvec_add_n,64,512,1,0.488447994,131027.255280
polyvec_add_n,64,1024,1,0.488447994,131027.255280
polyvec_reduce_n,64,16,4,0.567296028,112815.878881
polyvec_reduce_n,64,32,2,0.566272020,113019.887441
polyvec_reduce_n,64,64,1,0.565248013,113224.635169
polyvec_reduce_n,64,128,1,0.565248013,113224.635169
polyvec_reduce_n,64,192,1,0.565248013,113224.635169
polyvec_reduce_n,64,256,1,0.565248013,113224.635169
polyvec_reduce_n,64,512,1,0.565248013,113224.635169
polyvec_reduce_n,64,1024,1,0.565248013,113224.635169
pack_sk_n,64,16,4,0.375808001,170299.727265
pack_sk_n,64,32,2,0.398335993,160668.383169
pack_sk_n,64,64,1,0.400384009,159846.543768
pack_sk_n,64,128,1,0.400384009,159846.543768
pack_sk_n,64,192,1,0.400384009,159846.543768
pack_sk_n,64,256,1,0.399360001,160256.409820
pack_sk_n,64,512,1,0.399360001,160256.409820
pack_sk_n,64,1024,1,0.399360001,160256.409820
pack_pk_n,64,16,4,0.380928010,168010.748389
pack_pk_n,64,32,2,0.402431995,159033.080984
pack_pk_n,64,64,1,0.403456002,158629.440652
pack_pk_n,64,128,1,0.421887994,151699.031351
pack_pk_n,64,192,1,0.403456002,158629.440652
pack_pk_n,64,256,1,0.424959987,150602.414103
pack_pk_n,64,512,1,0.422912002,151331.718552
pack_pk_n,64,1024,1,0.428032011,149521.527330
unpack_pk_n,64,16,4,0.151552007,422297.278900
unpack_pk_n,64,32,2,0.172031999,372023.812477
unpack_pk_n,64,64,1,0.172031999,372023.812477
unpack_pk_n,64,128,1,0.172031999,372023.812477
unpack_pk_n,64,192,1,0.172031999,372023.812477
unpack_pk_n,64,256,1,0.171008006,374251.484448
unpack_pk_n,64,512,1,0.171008006,374251.484448
unpack_pk_n,64,1024,1,0.172031999,372023.812477
poly_frommsg_n,64,16,4,0.037888002,1689189.115601
poly_frommsg_n,64,32,2,0.039935999,1602564.157997
poly_frommsg_n,64,64,1,0.041983999,1524390.268886
poly_frommsg_n,64,128,1,0.039935999,1602564.157997
poly_frommsg_n,64,192,1,0.041983999,1524390.268886
poly_frommsg_n,64,256,1,0.039935999,1602564.157997
poly_frommsg_n,64,512,1,0.039935999,1602564.157997
poly_frommsg_n,64,1024,1,0.039935999,1602564.157997
polyvec_invntt_n,64,16,4,2.877439976,22241.993070
polyvec_invntt_n,64,32,2,3.264512062,19604.767507
polyvec_invntt_n,64,64,1,3.173376083,20167.795533
polyvec_invntt_n,64,128,1,3.525631905,18152.774235
polyvec_invntt_n,64,192,1,2.993151903,21382.142327
polyvec_invntt_n,64,256,1,3.283967972,19488.618814
polyvec_invntt_n,64,512,1,2.997247934,21352.921547
polyvec_invntt_n,64,1024,1,3.252223969,19678.841500
poly_invntt_n,64,16,4,0.818176031,78222.775499
poly_invntt_n,64,32,2,0.811007977,78914.143698
poly_invntt_n,64,64,1,0.814080000,78616.352209
poly_invntt_n,64,128,1,0.814080000,78616.352209
poly_invntt_n,64,192,1,0.813055992,78715.366002
poly_invntt_n,64,256,1,0.813055992,78715.366002
poly_invntt_n,64,512,1,0.813055992,78715.366002
poly_invntt_n,64,1024,1,0.812031984,78814.629516
poly_add_n,64,16,4,0.125952005,508130.059571
poly_add_n,64,32,2,0.126975998,504032.264882
poly_add_n,64,64,1,0.126975998,504032.264882
poly_add_n,64,128,1,0.126975998,504032.264882
poly_add_n,64,192,1,0.126975998,504032.264882
poly_add_n,64,256,1,0.125952005,508130.059571
poly_add_n,64,512,1,0.126975998,504032.264882
poly_add_n,64,1024,1,0.126975998,504032.264882
poly_reduce_n,64,16,4,0.144383997,443262.421402
poly_reduce_n,64,32,2,0.145408005,440140.831382
poly_reduce_n,64,64,1,0.144383997,443262.421402
poly_reduce_n,64,128,1,0.144383997,443262.421402
poly_reduce_n,64,192,1,0.145408005,440140.831382
poly_reduce_n,64,256,1,0.143360004,446428.559505
poly_reduce_n,64,512,1,0.144383997,443262.421402
poly_reduce_n,64,1024,1,0.144383997,443262.421402
pack_ciphertext_n,64,16,4,0.428032011,149521.527330
pack_ciphertext_n,64,32,2,0.964608014,66348.194392
pack_ciphertext_n,64,64,1,1.027071953,62313.063680
pack_ciphertext_n,64,128,1,1.032191992,62003.968746
pack_ciphertext_n,64,192,1,0.935935974,68380.745873
pack_ciphertext_n,64,256,1,1.026047945,62375.252843
pack_ciphertext_n,64,512,1,1.028095961,62250.998401
pack_ciphertext_n,64,1024,1,1.031167984,62065.542174
unpack_ciphertext_n,64,16,4,0.196608007,325520.821819
unpack_ciphertext_n,64,32,2,0.220159993,290697.684222
unpack_ciphertext_n,64,64,1,0.221184000,289351.851364
unpack_ciphertext_n,64,128,1,0.220159993,290697.684222
unpack_ciphertext_n,64,192,1,0.221184000,289351.851364
unpack_ciphertext_n,64,256,1,0.221184000,289351.851364
unpack_ciphertext_n,64,512,1,0.221184000,289351.851364
unpack_ciphertext_n,64,1024,1,0.221184000,289351.851364
unpack_sk_n,64,16,4,0.149504006,428082.174861
unpack_sk_n,64,32,2,0.168960005,378787.867478
unpack_sk_n,64,64,1,0.167935997,381097.567221
unpack_sk_n,64,128,1,0.171008006,374251.484448
unpack_sk_n,64,192,1,0.167935997,381097.567221
unpack_sk_n,64,256,1,0.171008006,374251.484448
unpack_sk_n,64,512,1,0.171008006,374251.484448
unpack_sk_n,64,1024,1,0.172031999,372023.812477
poly_sub_n,64,16,4,0.064511999,992063.499939
poly_sub_n,64,32,2,0.064511999,992063.499939
poly_sub_n,64,64,1,0.063487999,1008064.529765
poly_sub_n,64,128,1,0.065536000,976562.502466
poly_sub_n,64,192,1,0.064511999,992063.499939
poly_sub_n,64,256,1,0.064511999,992063.499939
poly_sub_n,64,512,1,0.064511999,992063.499939
poly_sub_n,64,1024,1,0.064511999,992063.499939
poly_tomsg_n,64,16,4,0.112640001,568181.813744
poly_tomsg_n,64,32,2,0.114688002,558035.706632
poly_tomsg_n,64,64,1,0.114688002,558035.706632
poly_tomsg_n,64,128,1,0.119808003,534188.019446
poly_tomsg_n,64,192,1,0.114688002,558035.706632
poly_tomsg_n,64,256,1,0.119808003,534188.019446
poly_tomsg_n,64,512,1,0.119808003,534188.019446
poly_tomsg_n,64,1024,1,0.119808003,534188.019446
sha3_512_n,128,16,8,0.425695986,300684.066430
sha3_512_n,128,32,4,0.059519999,2150537.680323
sha3_512_n,128,64,2,0.062720001,2040816.302326
sha3_512_n,128,128,1,0.060095999,2129925.474233
sha3_512_n,128,192,1,0.431327999,296757.920664
sha3_512_n,128,256,1,0.424800009,301318.261366
sha3_512_n,128,512,1,0.443551987,288579.475762
gen_matrix_n,128,16,8,6.022144318,21254.887503
gen_matrix_n,128,32,4,4.664063931,27443.877680
gen_matrix_n,128,64,2,3.285791874,38955.601849
gen_matrix_n,128,128,1,3.628031969,35280.835751
gen_matrix_n,128,192,1,6.510591984,19660.270574
gen_matrix_n,128,256,1,6.469632149,19784.741552
poly_getnoise,128,16,8,0.527360022,242718.436445
poly_getnoise,128,32,4,0.514303982,248880.048407
