kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,4096,16,256,0.427264005,9586578.678726
sha3_512_n,4096,32,128,0.422656000,9691096.313054
sha3_512_n,4096,64,64,0.418368012,9790423.467676
sha3_512_n,4096,128,32,0.429823995,9529481.953337
sha3_512_n,4096,192,22,0.421920002,9708001.482205
sha3_512_n,4096,256,16,0.398272008,10284428.533191
sha3_512_n,4096,512,8,0.425760001,9620443.420981
gen_matrix_n,4096,16,256,22.441982269,182515.071568
gen_matrix_n,4096,32,128,18.325504303,223513.630636
gen_matrix_n,4096,64,64,18.970623016,215912.782436
gen_matrix_n,4096,128,32,19.163135529,213743.726537
gen_matrix_n,4096,192,22,18.442239761,222098.836855
gen_matrix_n,4096,256,16,21.033985138,194732.475712
poly_getnoise,4096,16,256,1.329151988,3081664.126367
poly_getnoise,4096,32,128,1.023999929,4000000.275672
poly_getnoise,4096,64,64,1.007616043,4065040.476565
poly_getnoise,4096,128,32,1.057791948,3872217.033332
poly_getnoise,4096,192,22,1.050623894,3898635.871899
poly_getnoise,4096,256,16,1.093632102,3745318.002701
polyvec_ntt_n,4096,16,256,24.656896591,166119.851493
polyvec_ntt_n,4096,32,128,20.770816803,197199.755737
polyvec_ntt_n,4096,64,64,21.232639313,192910.543982
polyvec_ntt_n,4096,128,32,21.370880127,191662.672556
polyvec_ntt_n,4096,192,22,21.390335083,191488.351356
polyvec_ntt_n,4096,256,16,21.404672623,191360.086286
polyvec_ntt_n,4096,512,8,20.781055450,197102.597112
polyvec_ntt_n,4096,1024,4,23.266304016,176048.589289
polyvec_pointwise_acc_n,4096,16,256,32.044033051,127824.109829
polyvec_pointwise_acc_n,4096,32,128,29.279232025,139894.379623
polyvec_pointwise_acc_n,4096,64,64,29.410305023,139270.911906
polyvec_pointwise_acc_n,4096,128,32,29.824001312,137339.049751
polyvec_pointwise_acc_n,4096,192,22,30.261249542,135354.622230
polyvec_pointwise_acc_n,4096,256,16,30.382080078,134816.312427
polyvec_pointwise_acc_n,4096,512,8,30.638078690,133689.845290
polyvec_pointwise_acc_n,4096,1024,4,32.197631836,127214.324981
poly_frommont_n,4096,16,256,0.440320015,9302325.265481
poly_frommont_n,4096,32,128,0.348160028,11764704.920738
poly_frommont_n,4096,64,64,0.345088005,11869436.027536
poly_frommont_n,4096,128,32,0.344063997,11904761.999267
poly_frommont_n,4096,192,22,0.348159999,11764705.927791
poly_frommont_n,4096,256,16,0.344063997,11904761.999267
poly_frommont_n,4096,512,8,0.349184006,11730205.061830
poly_frommont_n,4096,1024,4,0.363519996,11267605.745244
polyvec_add_n,4096,16,256,2.079743862,1969473.296467
polyvec_add_n,4096,32,128,0.676864028,6051436.966213
polyvec_add_n,4096,64,64,0.679936051,6024095.930426
polyvec_add_n,4096,128,32,0.669695973,6116208.194037
polyvec_add_n,4096,192,22,0.684032023,5988023.751165
polyvec_add_n,4096,256,16,0.683008015,5997001.366178
polyvec_add_n,4096,512,8,0.681984007,6006005.941202
polyvec_add_n,4096,1024,4,0.722944021,5665722.213263
polyvec_reduce_n,4096,16,256,0.824319959,4968944.348412
polyvec_reduce_n,4096,32,128,0.681984007,6006005.941202
polyvec_reduce_n,4096,64,64,0.680960000,6015037.597860
polyvec_reduce_n,4096,128,32,0.680960000,6015037.597860
polyvec_reduce_n,4096,192,22,0.692224026,5917159.543404
polyvec_reduce_n,4096,256,16,0.692224026,5917159.543404
polyvec_reduce_n,4096,512,8,0.690176010,5934718.013768
polyvec_reduce_n,4096,1024,4,0.731135964,5602241.169188
pack_sk_n,4096,16,256,1.677312016,2442002.417999
pack_sk_n,4096,32,128,1.340415955,3055767.865172
pack_sk_n,4096,64,64,1.765375972,2320185.651919
pack_sk_n,4096,128,32,2.086911917,1962708.616094
pack_sk_n,4096,192,22,2.105344057,1945525.239079
pack_sk_n,4096,256,16,2.295808077,1784121.260521
pack_sk_n,4096,512,8,2.277375937,1798561.201222
pack_sk_n,4096,1024,4,4.164608002,983525.940093
pack_pk_n,4096,16,256,1.995776057,2052334.471663
pack_pk_n,4096,32,128,1.359871984,3012048.229255
pack_pk_n,4096,64,64,1.985535979,2062919.051965
pack_pk_n,4096,128,32,2.108416080,1942690.552368
pack_pk_n,4096,192,22,2.113535881,1937984.605201
pack_pk_n,4096,256,16,2.321408033,1764446.379576
pack_pk_n,4096,512,8,2.198528051,1863064.697963
pack_pk_n,4096,1024,4,4.244480133,965018.063838
unpack_pk_n,4096,16,256,0.335871994,12195122.151085
unpack_pk_n,4096,32,128,0.336896002,12158054.628509
unpack_pk_n,4096,64,64,0.367615998,11142061.348281
unpack_pk_n,4096,128,32,0.404480010,10126582.021334
unpack_pk_n,4096,192,22,0.381951988,10723860.933935
unpack_pk_n,4096,256,16,1.087488055,3766478.151465
unpack_pk_n,4096,512,8,1.071104050,3824091.600824
unpack_pk_n,4096,1024,4,2.103296041,1947419.630525
poly_frommsg_n,4096,16,256,0.041983999,97560977.208684
poly_frommsg_n,4096,32,128,0.045056000,90909090.199054
poly_frommsg_n,4096,64,64,0.046080001,88888887.541346
poly_frommsg_n,4096,128,32,0.046080001,88888887.541346
poly_frommsg_n,4096,192,22,0.045056000,90909090.199054
poly_frommsg_n,4096,256,16,0.047104001,86956519.809585
poly_frommsg_n,4096,512,8,0.047104001,86956519.809585
poly_frommsg_n,4096,1024,4,0.071680002,57142855.616629
polyvec_invntt_n,4096,16,256,5.192704201,788799.022947
polyvec_invntt_n,4096,32,128,4.247551918,964320.172901
polyvec_invntt_n,4096,64,64,4.240384102,965950.230357
polyvec_invntt_n,4096,128,32,4.279295921,957166.803910
polyvec_invntt_n,4096,192,22,4.311039925,950118.781458
polyvec_invntt_n,4096,256,16,4.337664127,944287.035544
polyvec_invntt_n,4096,512,8,4.356095791,940291.535506
polyvec_invntt_n,4096,1024,4,5.001215935,819000.829686
poly_invntt_n,4096,16,256,2.282495975,1794526.712851
poly_invntt_n,4096,32,128,2.066431999,1982160.555766
poly_invntt_n,4096,64,64,2.049024105,1999000.397243
poly_invntt_n,4096,128,32,2.085887909,1963672.152494
poly_invntt_n,4096,192,22,2.073599815,1975308.817855
poly_invntt_n,4096,256,16,2.044928074,2003004.434392
poly_invntt_n,4096,512,8,2.092031956,1957905.083047
poly_invntt_n,4096,1024,4,2.230271816,1836547.442401
poly_add_n,4096,16,256,0.253951997,16129032.476237
poly_add_n,4096,32,128,0.179199994,22857143.672145
poly_add_n,4096,64,64,0.179199994,22857143.672145
