operation,batch,block,grid,median_total_ms,throughput_ops_s,warmups,samples,timing_scope
KeyGen,1024,32,32,38.352185,26699.912925430457,3,7,full synchronous host API
Encaps,1024,32,32,43.689381,23438.189705640372,3,7,full synchronous host API
Decaps,1024,32,32,67.502135,15169.890552350678,3,7,full synchronous host API
KeyGen,1024,64,16,39.117447,26177.577488633142,3,7,full synchronous host API
Encaps,1024,64,16,42.878633,23881.35834460954,3,7,full synchronous host API
Decaps,1024,64,16,67.596904,15148.622783078943,3,7,full synchronous host API
KeyGen,1024,128,8,39.189633,26129.359261925212,3,7,full synchronous host API
Encaps,1024,128,8,43.353866,23619.577548170677,3,7,full synchronous host API
Decaps,1024,128,8,66.781129,15333.67308001037,3,7,full synchronous host API
KeyGen,1024,192,6,38.992065,26261.75351318275,3,7,full synchronous host API
Encaps,1024,192,6,44.590276,22964.64816678865,3,7,full synchronous host API
Decaps,1024,192,6,69.64294,14703.572250108913,3,7,full synchronous host API
KeyGen,1024,256,4,40.189635,25479.206267984267,3,7,full synchronous host API
Encaps,1024,256,4,43.810411,23373.439705918303,3,7,full synchronous host API
Decaps,1024,256,4,69.364787,14762.533618102221,3,7,full synchronous host API
KeyGen,2048,16,128,45.341575,45168.258932337485,3,7,full synchronous host API
Encaps,2048,16,128,53.137847,38541.26795916289,3,7,full synchronous host API
Decaps,2048,16,128,77.241699,26514.175976372557,3,7,full synchronous host API
KeyGen,2048,32,64,43.454799,47129.43212555189,3,7,full synchronous host API
Encaps,2048,32,64,50.859504,40267.79340986101,3,7,full synchronous host API
Decaps,2048,32,64,74.261631,27578.17155941539,3,7,full synchronous host API
KeyGen,2048,64,32,42.858368,47785.300644205585,3,7,full synchronous host API
Encaps,2048,64,32,51.49732,39769.05982680264,3,7,full synchronous host API
Decaps,2048,64,32,76.445741,26790.24329164394,3,7,full synchronous host API
KeyGen,2048,128,16,43.246582,47356.343675900214,3,7,full synchronous host API
Encaps,2048,128,16,51.560726,39720.15444468334,3,7,full synchronous host API
Decaps,2048,128,16,77.275815,26502.470404226733,3,7,full synchronous host API
KeyGen,2048,192,11,43.498008,47082.61582921223,3,7,full synchronous host API
Encaps,2048,192,11,50.814033,40303.82709437765,3,7,full synchronous host API
Decaps,2048,192,11,74.018497,27668.75960748028,3,7,full synchronous host API
KeyGen,2048,256,8,43.102344,47514.817291607156,3,7,full synchronous host API
Encaps,2048,256,8,50.729561,40370.93875107652,3,7,full synchronous host API
Decaps,2048,256,8,75.538099,27112.14641501635,3,7,full synchronous host API
KeyGen,4096,16,256,57.523152,71206.11193211387,3,7,full synchronous host API
Encaps,4096,16,256,71.034704,57661.95633052824,3,7,full synchronous host API
Decaps,4096,16,256,96.099671,42622.41438891086,3,7,full synchronous host API
KeyGen,4096,32,128,55.38558,73954.26751872961,3,7,full synchronous host API
Encaps,4096,32,128,70.394325,58186.508642564586,3,7,full synchronous host API
Decaps,4096,32,128,93.875321,43632.340815111565,3,7,full synchronous host API
KeyGen,4096,64,64,55.427072,73898.90629618682,3,7,full synchronous host API
Encaps,4096,64,64,68.117098,60131.74548334399,3,7,full synchronous host API
Decaps,4096,64,64,91.023952,44999.14484047012,3,7,full synchronous host API
KeyGen,4096,128,32,54.620265,74990.48201249115,3,7,full synchronous host API
Encaps,4096,128,32,68.095896,60150.467804990774,3,7,full synchronous host API
Decaps,4096,128,32,94.922056,43151.19343811938,3,7,full synchronous host API
KeyGen,4096,192,22,55.50054,73801.08373720327,3,7,full synchronous host API
Encaps,4096,192,22,69.315299,59092.29360750504,3,7,full synchronous host API
Decaps,4096,192,22,95.521131,42880.56430152612,3,7,full synchronous host API
KeyGen,4096,256,16,58.529064,69982.32536231914,3,7,full synchronous host API
Encaps,4096,256,16,73.028223,56087.90453520963,3,7,full synchronous host API
Decaps,4096,256,16,97.617978,41959.48414338187,3,7,full synchronous host API
KeyGen,8192,16,512,99.354426,82452.29055019653,3,7,full synchronous host API
Encaps,8192,16,512,124.338813,65884.4957768738,3,7,full synchronous host API
Decaps,8192,16,512,149.029339,54969.04203540754,3,7,full synchronous host API
KeyGen,8192,32,256,78.040535,104971.0897035752,3,7,full synchronous host API
Encaps,8192,32,256,104.873102,78113.45181722574,3,7,full synchronous host API
Decaps,8192,32,256,126.560446,64727.964059165846,3,7,full synchronous host API
KeyGen,8192,64,128,76.963194,106440.4889433253,3,7,full synchronous host API
Encaps,8192,64,128,103.483296,79162.53459882067,3,7,full synchronous host API
Decaps,8192,64,128,124.604113,65744.21825064474,3,7,full synchronous host API
KeyGen,8192,128,64,78.151598,104821.91291853046,3,7,full synchronous host API
Encaps,8192,128,64,105.109862,77937.50124036886,3,7,full synchronous host API
Decaps,8192,128,64,124.965793,65553.93922879359,3,7,full synchronous host API
KeyGen,8192,192,43,76.492394,107095.61528431179,3,7,full synchronous host API
Encaps,8192,192,43,103.362215,79255.26750757034,3,7,full synchronous host API
Decaps,8192,192,43,124.697513,65694.97500724012,3,7,full synchronous host API
KeyGen,8192,256,32,77.978445,105054.67248032455,3,7,full synchronous host API
Encaps,8192,256,32,106.109826,77203.0292463207,3,7,full synchronous host API
Decaps,8192,256,32,127.973023,64013.49134340602,3,7,full synchronous host API
KeyGen,16384,16,1024,155.851337,105125.8225651282,3,7,full synchronous host API
Encaps,16384,16,1024,212.999457,76920.38388623686,3,7,full synchronous host API
Decaps,16384,16,1024,239.418468,68432.48199215777,3,7,full synchronous host API
KeyGen,16384,32,512,141.098169,116117.73643923046,3,7,full synchronous host API
Encaps,16384,32,512,191.291189,85649.52774693663,3,7,full synchronous host API
Decaps,16384,32,512,216.48134,75683.19745249175,3,7,full synchronous host API
KeyGen,16384,64,256,127.947776,128052.24531608896,3,7,full synchronous host API
Encaps,16384,64,256,181.87756,90082.5808307523,3,7,full synchronous host API
Decaps,16384,64,256,203.715192,80426.00966156712,3,7,full synchronous host API
KeyGen,16384,128,128,128.145479,127854.68615712928,3,7,full synchronous host API
Encaps,16384,128,128,180.152544,90945.1492397465,3,7,full synchronous host API
Decaps,16384,128,128,201.472681,81321.19907611693,3,7,full synchronous host API
KeyGen,16384,192,86,129.67669,126344.98921895676,3,7,full synchronous host API
Encaps,16384,192,86,181.19386,90422.49003360268,3,7,full synchronous host API
Decaps,16384,192,86,204.046674,80295.3543854383,3,7,full synchronous host API
KeyGen,16384,256,64,133.340792,122873.12647730486,3,7,full synchronous host API
Encaps,16384,256,64,187.637367,87317.36253792135,3,7,full synchronous host API
Decaps,16384,256,64,211.308489,77535.92899904745,3,7,full synchronous host API
KeyGen,32768,16,2048,299.740589,109321.19707017724,3,7,full synchronous host API
Encaps,32768,16,2048,402.929772,81324.34552391428,3,7,full synchronous host API
Decaps,32768,16,2048,443.439878,73895.02303624574,3,7,full synchronous host API
KeyGen,32768,32,1024,260.057807,126002.75445681966,3,7,full synchronous host API
Encaps,32768,32,1024,352.68767,92909.40054694851,3,7,full synchronous host API
Decaps,32768,32,1024,390.698586,83870.28050313958,3,7,full synchronous host API
KeyGen,32768,64,512,258.867597,126582.08435411096,3,7,full synchronous host API
Encaps,32768,64,512,359.134209,91241.65612415942,3,7,full synchronous host API
Decaps,32768,64,512,402.872652,81335.87583403403,3,7,full synchronous host API
KeyGen,32768,128,256,260.134688,125965.5152180243,3,7,full synchronous host API
Encaps,32768,128,256,358.883309,91305.44435545204,3,7,full synchronous host API
Decaps,32768,128,256,401.373607,81639.64802000546,3,7,full synchronous host API
KeyGen,32768,192,171,262.757779,124708.01102333871,3,7,full synchronous host API
Encaps,32768,192,171,362.491476,90396.60838811008,3,7,full synchronous host API
Decaps,32768,192,171,405.864282,80736.34821602755,3,7,full synchronous host API
KeyGen,32768,256,128,259.613391,126218.4507269889,3,7,full synchronous host API
Encaps,32768,256,128,361.189289,90722.5130920203,3,7,full synchronous host API
Decaps,32768,256,128,403.252918,81259.17640600928,3,7,full synchronous host API
