kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,32768,16,2048,0.351743996,93158661.865678
sha3_512_n,32768,32,1024,0.489823997,66897498.283682
sha3_512_n,32768,64,512,0.345344007,94885098.146658
sha3_512_n,32768,128,256,0.573855996,57101433.497034
sha3_512_n,32768,192,171,0.630688012,51955958.247036
sha3_512_n,32768,256,128,0.635136008,51592099.288520
sha3_512_n,32768,512,64,0.695263982,47130299.939115
gen_matrix_n,32768,16,2048,146.304000854,223972.002191
gen_matrix_n,32768,32,1024,102.322174072,320243.391006
gen_matrix_n,32768,64,512,102.151168823,320779.491586
gen_matrix_n,32768,128,256,104.151039124,314620.000681
gen_matrix_n,32768,192,171,118.584320068,276326.583322
gen_matrix_n,32768,256,128,106.258430481,308380.237236
poly_getnoise,32768,16,2048,9.646079063,3397027.930683
poly_getnoise,32768,32,1024,4.298751831,7622677.765039
poly_getnoise,32768,64,512,4.267008305,7679385.100963
poly_getnoise,32768,128,256,4.315135956,7593735.246250
poly_getnoise,32768,192,171,5.562367916,5891016.289144
poly_getnoise,32768,256,128,4.623360157,7087485.916557
polyvec_ntt_n,32768,16,2048,198.054916382,165449.061294
polyvec_ntt_n,32768,32,1024,112.447486877,291407.135099
polyvec_ntt_n,32768,64,512,110.363647461,296909.360590
polyvec_ntt_n,32768,128,256,104.160255432,314592.162472
polyvec_ntt_n,32768,192,171,106.387458801,308006.229016
polyvec_ntt_n,32768,256,128,104.393722534,313888.605603
polyvec_ntt_n,32768,512,64,105.413627625,310851.649245
polyvec_ntt_n,32768,1024,32,57.505794525,569820.837545
polyvec_pointwise_acc_n,32768,16,2048,221.102096558,148203.027064
polyvec_pointwise_acc_n,32768,32,1024,132.376571655,247536.248977
polyvec_pointwise_acc_n,32768,64,512,131.390457153,249394.063389
polyvec_pointwise_acc_n,32768,128,256,129.271804810,253481.414979
polyvec_pointwise_acc_n,32768,192,171,125.004798889,262133.936386
polyvec_pointwise_acc_n,32768,256,128,125.479942322,261141.337760
polyvec_pointwise_acc_n,32768,512,64,123.797500610,264690.319582
polyvec_pointwise_acc_n,32768,1024,32,87.003524780,376628.419168
poly_frommont_n,32768,16,2048,5.027839661,6517312.048849
poly_frommont_n,32768,32,1024,1.356800079,24150941.983879
poly_frommont_n,32768,64,512,1.242112041,26380873.005860
poly_frommont_n,32768,128,256,1.227776051,26688906.323633
poly_frommont_n,32768,192,171,1.238016009,26468155.300927
poly_frommont_n,32768,256,128,1.225728035,26733499.654936
poly_frommont_n,32768,512,64,1.216511965,26936027.715471
poly_frommont_n,32768,1024,32,1.226751924,26711186.973222
polyvec_add_n,32768,16,2048,14.180352211,2310802.969660
polyvec_add_n,32768,32,1024,7.416831970,4418058.833150
polyvec_add_n,32768,64,512,7.145472050,4585841.183343
polyvec_add_n,32768,128,256,6.689792156,4898208.977918
polyvec_add_n,32768,192,171,6.743040085,4859529.171964
polyvec_add_n,32768,256,128,6.596608162,4967401.306194
polyvec_add_n,32768,512,64,6.589440346,4972804.711870
polyvec_add_n,32768,1024,32,5.615615845,5835156.981183
polyvec_reduce_n,32768,16,2048,11.967488289,2738084.985673
polyvec_reduce_n,32768,32,1024,6.202367783,5283143.655551
polyvec_reduce_n,32768,64,512,5.962751865,5495449.205293
polyvec_reduce_n,32768,128,256,4.838399887,6772486.930538
polyvec_reduce_n,32768,192,171,4.870143890,6728343.296945
