kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,1024,16,64,0.433535993,2361972.284423
sha3_512_n,1024,32,32,0.434911996,2354499.321980
sha3_512_n,1024,64,16,0.434303999,2357795.466960
sha3_512_n,1024,128,8,0.433472008,2362320.939419
sha3_512_n,1024,192,6,0.434399992,2357274.443651
sha3_512_n,1024,256,4,0.070015997,14625229.209648
sha3_512_n,1024,512,2,0.084224001,12158054.628509
gen_matrix_n,1024,16,64,6.420479774,159489.638776
gen_matrix_n,1024,32,32,6.328320026,161812.297060
gen_matrix_n,1024,64,16,6.871040344,149031.289106
gen_matrix_n,1024,128,8,6.676479816,153374.237346
gen_matrix_n,1024,192,6,8.360960007,122473.974182
gen_matrix_n,1024,256,4,6.365183830,160875.165165
poly_getnoise,1024,16,64,0.565248072,1811593.971670
poly_getnoise,1024,32,32,0.551936090,1855287.267071
poly_getnoise,1024,64,16,0.551936090,1855287.267071
poly_getnoise,1024,128,8,0.552960038,1851851.723971
poly_getnoise,1024,192,6,0.588800013,1739130.396192
poly_getnoise,1024,256,4,0.595936000,1718305.320376
polyvec_ntt_n,1024,16,64,16.743423462,61158.340905
polyvec_ntt_n,1024,32,32,16.308223724,62790.406687
polyvec_ntt_n,1024,64,16,16.562175751,61827.625513
polyvec_ntt_n,1024,128,8,16.154624939,63387.420251
polyvec_ntt_n,1024,192,6,15.651840210,65423.617048
polyvec_ntt_n,1024,256,4,9.253888130,110656.189657
polyvec_ntt_n,1024,512,2,12.742400169,80361.626255
polyvec_ntt_n,1024,1024,1,11.346752167,90246.088480
polyvec_pointwise_acc_n,1024,16,64,21.686269760,47218.816852
polyvec_pointwise_acc_n,1024,32,32,21.326847076,48014.598517
polyvec_pointwise_acc_n,1024,64,16,21.885951996,46788.003565
polyvec_pointwise_acc_n,1024,128,8,21.588993073,47431.577590
polyvec_pointwise_acc_n,1024,192,6,21.136383057,48447.267314
polyvec_pointwise_acc_n,1024,256,4,11.422529221,89647.395969
polyvec_pointwise_acc_n,1024,512,2,16.697246552,61327.476769
polyvec_pointwise_acc_n,1024,1024,1,20.003871918,51190.089809
poly_frommont_n,1024,16,64,0.310271978,3300330.262991
poly_frommont_n,1024,32,32,0.301056027,3401360.234510
poly_frommont_n,1024,64,16,0.301056027,3401360.234510
poly_frommont_n,1024,128,8,0.301056027,3401360.234510
poly_frommont_n,1024,192,6,0.304128021,3367003.134492
poly_frommont_n,1024,256,4,0.242303997,4226096.191159
poly_frommont_n,1024,512,2,0.308224022,3322258.894894
poly_frommont_n,1024,1024,1,0.316415995,3236246.002156
polyvec_add_n,1024,16,64,0.549888015,1862197.342826
polyvec_add_n,1024,32,32,0.520192027,1968503.834487
polyvec_add_n,1024,64,16,0.522239983,1960784.377246
polyvec_add_n,1024,128,8,0.520192027,1968503.834487
polyvec_add_n,1024,192,6,0.530431986,1930501.981982
polyvec_add_n,1024,256,4,0.528383970,1937984.605201
polyvec_add_n,1024,512,2,0.548864007,1865671.618010
polyvec_add_n,1024,1024,1,0.599040031,1709401.619705
polyvec_reduce_n,1024,16,64,0.596992016,1715265.820702
polyvec_reduce_n,1024,32,32,0.579584002,1766784.444692
polyvec_reduce_n,1024,64,16,0.578559995,1769911.520646
polyvec_reduce_n,1024,128,8,0.580608010,1763668.399072
polyvec_reduce_n,1024,192,6,0.583680034,1754385.863668
polyvec_reduce_n,1024,256,4,0.589823961,1736111.225146
polyvec_reduce_n,1024,512,2,0.604159951,1694915.391113
polyvec_reduce_n,1024,1024,1,0.650176048,1574958.048225
pack_sk_n,1024,16,64,0.963584006,1062699.249678
pack_sk_n,1024,32,32,1.005568027,1018329.911055
pack_sk_n,1024,64,16,1.044479966,980392.188623
pack_sk_n,1024,128,8,1.058815956,967118.028478
pack_sk_n,1024,192,6,1.079295993,948766.609700
pack_sk_n,1024,256,4,0.698368013,1466275.632729
pack_sk_n,1024,512,2,1.137344003,900343.253710
pack_sk_n,1024,1024,1,1.900544047,538793.090023
pack_pk_n,1024,16,64,0.991231978,1033057.874231
pack_pk_n,1024,32,32,0.994304001,1029866.116026
pack_pk_n,1024,64,16,1.053696036,971817.264833
pack_pk_n,1024,128,8,1.069056034,957854.375588
pack_pk_n,1024,192,6,1.093631983,936329.602738
pack_pk_n,1024,256,4,0.721728027,1418817.008459
pack_pk_n,1024,512,2,1.148928046,891265.561288
pack_pk_n,1024,1024,1,1.956640005,523346.143044
unpack_pk_n,1024,16,64,0.159743994,6410256.631989
unpack_pk_n,1024,32,32,0.181247994,5649717.691685
unpack_pk_n,1024,64,16,0.182272002,5617977.463335
unpack_pk_n,1024,128,8,0.183295995,5586592.331254
unpack_pk_n,1024,192,6,0.207872003,4926108.295782
unpack_pk_n,1024,256,4,0.245536000,4170467.882237
unpack_pk_n,1024,512,2,0.496639997,2061855.683525
unpack_pk_n,1024,1024,1,0.977919996,1047120.423362
poly_frommsg_n,1024,16,64,0.038911998,26315790.642352
poly_frommsg_n,1024,32,32,0.043008000,23809523.998534
poly_frommsg_n,1024,64,16,0.040959999,25000000.631553
poly_frommsg_n,1024,128,8,0.043008000,23809523.998534
poly_frommsg_n,1024,192,6,0.043008000,23809523.998534
poly_frommsg_n,1024,256,4,0.043008000,23809523.998534
poly_frommsg_n,1024,512,2,0.044032000,23255813.950718
poly_frommsg_n,1024,1024,1,0.070656002,14492753.301598
polyvec_invntt_n,1024,16,64,3.375103951,303398.062702
polyvec_invntt_n,1024,32,32,3.334144115,307125.296491
polyvec_invntt_n,1024,64,16,3.326976061,307787.005757
polyvec_invntt_n,1024,128,8,3.324928045,307976.589585
polyvec_invntt_n,1024,192,6,3.315711975,308832.615043
polyvec_invntt_n,1024,256,4,1.637375951,625390.888080
polyvec_invntt_n,1024,512,2,1.661952019,616142.938217
polyvec_invntt_n,1024,1024,1,2.594815969,394632.995962
poly_invntt_n,1024,16,64,0.832512021,1230012.269000
poly_invntt_n,1024,32,32,0.819199979,1250000.031578
poly_invntt_n,1024,64,16,0.817152023,1253132.796325
poly_invntt_n,1024,128,8,0.817152023,1253132.796325
poly_invntt_n,1024,192,6,0.818176031,1251564.407976
poly_invntt_n,1024,256,4,0.822272003,1245330.008369
poly_invntt_n,1024,512,2,0.831359982,1231716.731099
poly_invntt_n,1024,1024,1,1.288192034,794912.538781
poly_add_n,1024,16,64,0.151552007,6756756.462402
poly_add_n,1024,32,32,0.140287995,7299270.315537
poly_add_n,1024,64,16,0.139264002,7352941.047517
poly_add_n,1024,128,8,0.139264002,7352941.047517
poly_add_n,1024,192,6,0.141312003,7246376.650799
poly_add_n,1024,256,4,0.144383997,7092198.742426
poly_add_n,1024,512,2,0.145408005,7042253.302106
poly_add_n,1024,1024,1,0.156672001,6535947.675498
poly_reduce_n,1024,16,64,0.154624000,6622516.548081
poly_reduce_n,1024,32,32,0.151552007,6756756.462402
poly_reduce_n,1024,64,16,0.151552007,6756756.462402
poly_reduce_n,1024,128,8,0.150528014,6802720.469019
poly_reduce_n,1024,192,6,0.151552007,6756756.462402
poly_reduce_n,1024,256,4,0.150528014,6802720.469019
poly_reduce_n,1024,512,2,0.121855997,8403361.582515
poly_reduce_n,1024,1024,1,0.156672001,6535947.675498
pack_ciphertext_n,1024,16,64,1.102848053,928505.062175
pack_ciphertext_n,1024,32,32,1.100800037,930232.526548
pack_ciphertext_n,1024,64,16,1.141759992,896860.993109
pack_ciphertext_n,1024,128,8,1.141759992,896860.993109
pack_ciphertext_n,1024,192,6,1.230847955,831946.785993
pack_ciphertext_n,1024,256,4,0.788479984,1298701.325373
pack_ciphertext_n,1024,512,2,1.190912008,859845.221877
pack_ciphertext_n,1024,1024,1,2.068831921,494965.294083
unpack_ciphertext_n,1024,16,64,0.207872003,4926108.295782
unpack_ciphertext_n,1024,32,32,0.230399996,4444444.520790
unpack_ciphertext_n,1024,64,16,0.235520005,4347825.990479
unpack_ciphertext_n,1024,128,8,0.236543998,4329004.363370
unpack_ciphertext_n,1024,192,6,0.267264009,3831417.502352
unpack_ciphertext_n,1024,256,4,0.312319994,3278688.587863
unpack_ciphertext_n,1024,512,2,0.616447985,1661129.608062
unpack_ciphertext_n,1024,1024,1,1.228608012,833463.553739
unpack_sk_n,1024,16,64,0.155647993,6578947.660588
unpack_sk_n,1024,32,32,0.175104007,5847952.978424
unpack_sk_n,1024,64,16,0.177151993,5780347.051921
unpack_sk_n,1024,128,8,0.178176001,5747126.413742
unpack_sk_n,1024,192,6,0.195583999,5235602.116808
unpack_sk_n,1024,256,4,0.229376003,4464285.653053
unpack_sk_n,1024,512,2,0.443392009,2309468.777673
unpack_sk_n,1024,1024,1,0.924383998,1107764.740960
poly_sub_n,1024,16,64,0.075776003,13513512.924804
poly_sub_n,1024,32,32,0.070656002,14492753.301598
