kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,128,16,8,0.425695986,300684.066430
sha3_512_n,128,32,4,0.059519999,2150537.680323
sha3_512_n,128,64,2,0.062720001,2040816.302326
sha3_512_n,128,128,1,0.060095999,2129925.474233
sha3_512_n,128,192,1,0.431327999,296757.920664
sha3_512_n,128,256,1,0.424800009,301318.261366
sha3_512_n,128,512,1,0.443551987,288579.475762
gen_matrix_n,128,16,8,6.022144318,21254.887503
gen_matrix_n,128,32,4,4.664063931,27443.877680
gen_matrix_n,128,64,2,3.285791874,38955.601849
gen_matrix_n,128,128,1,3.628031969,35280.835751
gen_matrix_n,128,192,1,6.510591984,19660.270574
gen_matrix_n,128,256,1,6.469632149,19784.741552
poly_getnoise,128,16,8,0.527360022,242718.436445
poly_getnoise,128,32,4,0.514303982,248880.048407
poly_getnoise,128,64,2,0.509504020,251224.710545
poly_getnoise,128,128,1,0.528160036,242350.786447
poly_getnoise,128,192,1,0.562175989,227686.707490
poly_getnoise,128,256,1,0.562176049,227686.683350
polyvec_ntt_n,128,16,8,15.337471008,8345.574047
polyvec_ntt_n,128,32,4,12.222944260,10472.108625
polyvec_ntt_n,128,64,2,10.997759819,11638.733897
polyvec_ntt_n,128,128,1,10.668128014,11998.356210
polyvec_ntt_n,128,192,1,16.691200256,7668.711539
polyvec_ntt_n,128,256,1,16.566270828,7726.542764
polyvec_ntt_n,128,512,1,16.243713379,7879.971594
polyvec_ntt_n,128,1024,1,16.214015961,7894.404465
polyvec_pointwise_acc_n,128,16,8,20.071422577,6377.226104
polyvec_pointwise_acc_n,128,32,4,17.136480331,7469.445156
polyvec_pointwise_acc_n,128,64,2,11.392830849,11235.135648
polyvec_pointwise_acc_n,128,128,1,12.146783829,10537.768829
polyvec_pointwise_acc_n,128,192,1,21.315584183,6004.996105
polyvec_pointwise_acc_n,128,256,1,20.457471848,6256.882617
polyvec_pointwise_acc_n,128,512,1,20.793344498,6155.815868
polyvec_pointwise_acc_n,128,1024,1,20.921342850,6118.154122
poly_frommont_n,128,16,8,0.292864025,437062.900292
poly_frommont_n,128,32,4,0.264191985,484496.151300
poly_frommont_n,128,64,2,0.240640000,531914.894703
poly_frommont_n,128,128,1,0.292864025,437062.900292
poly_frommont_n,128,192,1,0.292864025,437062.900292
poly_frommont_n,128,256,1,0.292864025,437062.900292
poly_frommont_n,128,512,1,0.293888003,435540.065783
poly_frommont_n,128,1024,1,0.292864025,437062.900292
polyvec_add_n,128,16,8,0.487423986,262605.049454
polyvec_add_n,128,32,4,0.490495980,260960.344784
polyvec_add_n,128,64,2,0.492511988,259892.151258
polyvec_add_n,128,128,1,0.489471972,261506.291116
polyvec_add_n,128,192,1,0.490495980,260960.344784
polyvec_add_n,128,256,1,0.491519988,260416.673245
polyvec_add_n,128,512,1,0.490495980,260960.344784
polyvec_add_n,128,1024,1,0.490495980,260960.344784
polyvec_reduce_n,128,16,8,0.567296028,225631.757762
polyvec_reduce_n,128,32,4,0.475840002,268997.981216
polyvec_reduce_n,128,64,2,0.476159990,268817.210040
polyvec_reduce_n,128,128,1,0.462752014,276606.035235
polyvec_reduce_n,128,192,1,0.566272020,226039.774883
polyvec_reduce_n,128,256,1,0.566272020,226039.774883
polyvec_reduce_n,128,512,1,0.565248013,226449.270337
polyvec_reduce_n,128,1024,1,0.566272020,226039.774883
pack_sk_n,128,16,8,0.376832008,339673.905506
pack_sk_n,128,32,4,0.396288007,322997.409910
pack_sk_n,128,64,2,0.347775996,368053.004149
pack_sk_n,128,128,1,0.534528017,239463.593897
pack_sk_n,128,192,1,1.035264015,123639.958620
pack_sk_n,128,256,1,1.034240007,123762.375352
pack_sk_n,128,512,1,1.033216000,123885.034735
pack_sk_n,128,1024,1,1.037312031,123395.850236
pack_pk_n,128,16,8,0.379904002,336927.221989
pack_pk_n,128,32,4,0.402431995,318066.161968
pack_pk_n,128,64,2,0.316415995,404530.750269
pack_pk_n,128,128,1,0.536480010,238592.301148
pack_pk_n,128,192,1,1.040384054,123031.489655
pack_pk_n,128,256,1,1.037312031,123395.850236
pack_pk_n,128,512,1,1.035264015,123639.958620
pack_pk_n,128,1024,1,1.036288023,123517.783820
unpack_pk_n,128,16,8,0.151552007,844594.557800
unpack_pk_n,128,32,4,0.172031999,744047.624954
unpack_pk_n,128,64,2,0.167807996,762776.523425
unpack_pk_n,128,128,1,0.180224001,710227.267180
unpack_pk_n,128,192,1,0.178176001,718390.801718
unpack_pk_n,128,256,1,0.179199994,714285.739755
unpack_pk_n,128,512,1,0.179199994,714285.739755
unpack_pk_n,128,1024,1,0.178176001,718390.801718
poly_frommsg_n,128,16,8,0.036864001,3472222.099407
poly_frommsg_n,128,32,4,0.039935999,3205128.315994
poly_frommsg_n,128,64,2,0.041824002,3060443.631249
poly_frommsg_n,128,128,1,0.043008000,2976190.499817
poly_frommsg_n,128,192,1,0.041983999,3048780.537771
poly_frommsg_n,128,256,1,0.043008000,2976190.499817
poly_frommsg_n,128,512,1,0.043008000,2976190.499817
poly_frommsg_n,128,1024,1,0.043008000,2976190.499817
polyvec_invntt_n,128,16,8,3.141632080,40743.154111
polyvec_invntt_n,128,32,4,2.100928068,60925.455726
polyvec_invntt_n,128,64,2,2.119935989,60379.181561
polyvec_invntt_n,128,128,1,1.609568000,79524.443834
polyvec_invntt_n,128,192,1,3.278847933,39038.101987
polyvec_invntt_n,128,256,1,3.275775909,39074.711928
polyvec_invntt_n,128,512,1,3.182591915,40218.791291
polyvec_invntt_n,128,1024,1,3.268608093,39160.399885
poly_invntt_n,128,16,8,0.818176031,156445.550997
poly_invntt_n,128,32,4,0.811007977,157828.287395
poly_invntt_n,128,64,2,0.799744010,160051.214394
poly_invntt_n,128,128,1,0.814080000,157232.704417
poly_invntt_n,128,192,1,0.813055992,157430.732003
poly_invntt_n,128,256,1,0.813055992,157430.732003
poly_invntt_n,128,512,1,0.813055992,157430.732003
poly_invntt_n,128,1024,1,0.813055992,157430.732003
poly_add_n,128,16,8,0.127999991,1000000.068918
poly_add_n,128,32,4,0.126975998,1008064.529765
poly_add_n,128,64,2,0.129023999,992063.499939
poly_add_n,128,128,1,0.126975998,1008064.529765
poly_add_n,128,192,1,0.127999991,1000000.068918
poly_add_n,128,256,1,0.127999991,1000000.068918
poly_add_n,128,512,1,0.127999991,1000000.068918
poly_add_n,128,1024,1,0.127999991,1000000.068918
poly_reduce_n,128,16,8,0.144383997,886524.842803
poly_reduce_n,128,32,4,0.121087998,1057082.468566
poly_reduce_n,128,64,2,0.145408005,880281.662763
poly_reduce_n,128,128,1,0.119648002,1069804.741961
poly_reduce_n,128,192,1,0.145408005,880281.662763
poly_reduce_n,128,256,1,0.145408005,880281.662763
poly_reduce_n,128,512,1,0.145408005,880281.662763
poly_reduce_n,128,1024,1,0.145408005,880281.662763
pack_ciphertext_n,128,16,8,0.429055989,298329.363404
pack_ciphertext_n,128,32,4,0.308223993,415282.402016
pack_ciphertext_n,128,64,2,0.535391986,239077.168240
pack_ciphertext_n,128,128,1,0.604864001,211617.817775
pack_ciphertext_n,128,192,1,1.114112020,114889.703867
pack_ciphertext_n,128,256,1,1.108991981,115420.131295
pack_ciphertext_n,128,512,1,1.114112020,114889.703867
pack_ciphertext_n,128,1024,1,1.111039996,115207.373671
unpack_ciphertext_n,128,16,8,0.196608007,651041.643639
unpack_ciphertext_n,128,32,4,0.216064006,592417.044913
unpack_ciphertext_n,128,64,2,0.222207993,576036.883809
unpack_ciphertext_n,128,128,1,0.234495997,545851.534369
unpack_ciphertext_n,128,192,1,0.231424004,553097.335956
unpack_ciphertext_n,128,256,1,0.231424004,553097.335956
unpack_ciphertext_n,128,512,1,0.231424004,553097.335956
unpack_ciphertext_n,128,1024,1,0.231424004,553097.335956
unpack_sk_n,128,16,8,0.149504006,856164.349723
unpack_sk_n,128,32,4,0.168960005,757575.734955
unpack_sk_n,128,64,2,0.168960005,757575.734955
unpack_sk_n,128,128,1,0.174079999,735294.120487
unpack_sk_n,128,192,1,0.173056006,739644.942925
unpack_sk_n,128,256,1,0.173056006,739644.942925
unpack_sk_n,128,512,1,0.174079999,735294.120487
unpack_sk_n,128,1024,1,0.173056006,739644.942925
poly_sub_n,128,16,8,0.064511999,1984126.999878
poly_sub_n,128,32,4,0.065536000,1953125.004931
poly_sub_n,128,64,2,0.064511999,1984126.999878
poly_sub_n,128,128,1,0.066560000,1923076.917842
poly_sub_n,128,192,1,0.065536000,1953125.004931
poly_sub_n,128,256,1,0.064511999,1984126.999878
poly_sub_n,128,512,1,0.065536000,1953125.004931
poly_sub_n,128,1024,1,0.065536000,1953125.004931
poly_tomsg_n,128,16,8,0.112640001,1136363.627488
poly_tomsg_n,128,32,4,0.114688002,1116071.413263
poly_tomsg_n,128,64,2,0.114688002,1116071.413263
poly_tomsg_n,128,128,1,0.119808003,1068376.038892
poly_tomsg_n,128,192,1,0.119808003,1068376.038892
poly_tomsg_n,128,256,1,0.119808003,1068376.038892
poly_tomsg_n,128,512,1,0.119808003,1068376.038892
poly_tomsg_n,128,1024,1,0.119808003,1068376.038892
