kernel,batch,block,grid,median_total_ms,throughput_ops_s
sha3_512_n,16384,16,1024,0.376511991,43515214.363929
sha3_512_n,16384,32,512,0.333088011,49188200.959166
sha3_512_n,16384,64,256,0.351583987,46600529.556799
sha3_512_n,16384,128,128,0.374303997,43771907.728600
sha3_512_n,16384,192,86,0.139039993,117836599.475973
sha3_512_n,16384,256,64,0.301984012,54254527.862600
sha3_512_n,16384,512,32,0.405535996,40400852.607931
gen_matrix_n,16384,16,1024,75.418624878,217240.768133
gen_matrix_n,16384,32,512,55.363586426,295934.585487
gen_matrix_n,16384,64,256,56.092674255,292088.052807
gen_matrix_n,16384,128,128,56.552444458,289713.382985
gen_matrix_n,16384,192,86,42.081184387,389342.653696
gen_matrix_n,16384,256,64,40.604671478,403500.370857
poly_getnoise,16384,16,1024,3.848192453,4257583.319564
poly_getnoise,16384,32,512,2.383872032,6872852.140942
poly_getnoise,16384,64,256,2.355200052,6956521.584767
poly_getnoise,16384,128,128,2.395135880,6840530.485188
poly_getnoise,16384,192,86,2.930400133,5591045.337035
poly_getnoise,16384,256,64,2.547711849,6430868.547816
polyvec_ntt_n,16384,16,1024,107.780090332,152013.233145
polyvec_ntt_n,16384,32,512,64.390144348,254448.878254
polyvec_ntt_n,16384,64,256,49.512447357,330906.688611
polyvec_ntt_n,16384,128,128,48.691200256,336487.905694
polyvec_ntt_n,16384,192,86,29.767681122,550395.576093
polyvec_ntt_n,16384,256,64,35.156993866,466023.917246
polyvec_ntt_n,16384,512,32,49.909763336,328272.444204
polyvec_ntt_n,16384,1024,16,49.256450653,332626.484100
polyvec_pointwise_acc_n,16384,16,1024,122.927108765,133282.236641
polyvec_pointwise_acc_n,16384,32,512,73.764862061,222111.172479
polyvec_pointwise_acc_n,16384,64,256,53.103614807,308528.902590
polyvec_pointwise_acc_n,16384,128,128,52.316165924,313172.796794
polyvec_pointwise_acc_n,16384,192,86,35.337890625,463638.313160
polyvec_pointwise_acc_n,16384,256,64,35.978046417,455388.817114
polyvec_pointwise_acc_n,16384,512,32,53.019645691,309017.530889
polyvec_pointwise_acc_n,16384,1024,16,80.124923706,204480.693924
poly_frommont_n,16384,16,1024,1.445888042,11331444.426526
poly_frommont_n,16384,32,512,0.800768018,20460357.602255
poly_frommont_n,16384,64,256,0.609279990,26890756.735213
poly_frommont_n,16384,128,128,0.595968008,27491408.563767
poly_frommont_n,16384,192,86,0.607231975,26981451.381485
poly_frommont_n,16384,256,64,0.627712011,26101141.453539
poly_frommont_n,16384,512,32,0.602112055,27210881.876076
poly_frommont_n,16384,1024,16,0.629760027,26016259.050013
polyvec_add_n,16384,16,1024,7.277567863,2251301.575936
polyvec_add_n,16384,32,512,4.121600151,3975155.133808
polyvec_add_n,16384,64,256,2.702335835,6062902.985932
polyvec_add_n,16384,128,128,2.471935987,6628003.347592
polyvec_add_n,16384,192,86,2.003968000,8175779.252279
polyvec_add_n,16384,256,64,2.058239937,7960199.249289
polyvec_add_n,16384,512,32,2.616320133,6262230.600925
polyvec_add_n,16384,1024,16,4.142080307,3955500.324869
polyvec_reduce_n,16384,16,1024,6.255616188,2619086.514818
polyvec_reduce_n,16384,32,512,2.817023993,5816066.900174
polyvec_reduce_n,16384,64,256,2.338816166,7005253.443477
polyvec_reduce_n,16384,128,128,2.325504065,7045354.273806
polyvec_reduce_n,16384,192,86,1.807359934,9065156.139137
polyvec_reduce_n,16384,256,64,1.747967958,9373169.525673
polyvec_reduce_n,16384,512,32,2.316287994,7073386.400879
polyvec_reduce_n,16384,1024,16,2.373631954,6902502.290238
pack_sk_n,16384,16,1024,8.715264320,1879920.034290
pack_sk_n,16384,32,512,17.375232697,942951.400200
pack_sk_n,16384,64,256,13.621248245,1202826.620954
pack_sk_n,16384,128,128,14.309375763,1144983.559830
pack_sk_n,16384,192,86,6.469632149,2532446.918668
pack_sk_n,16384,256,64,7.059455872,2320858.759944
pack_sk_n,16384,512,32,15.700991631,1043500.970226
pack_sk_n,16384,1024,16,18.322431564,894204.458752
pack_pk_n,16384,16,1024,9.287679672,1764057.394116
pack_pk_n,16384,32,512,16.825344086,973769.090044
pack_pk_n,16384,64,256,14.400511742,1137737.345307
pack_pk_n,16384,128,128,15.467519760,1059251.919770
pack_pk_n,16384,192,86,6.312960148,2595295.965168
pack_pk_n,16384,256,64,7.249919891,2259887.039515
pack_pk_n,16384,512,32,16.391168594,999562.655077
pack_pk_n,16384,1024,16,18.823167801,870416.721207
unpack_pk_n,16384,16,1024,3.211263895,5102040.983095
unpack_pk_n,16384,32,512,9.287679672,1764057.394116
unpack_pk_n,16384,64,256,11.385855675,1438978.366496
unpack_pk_n,16384,128,128,11.023360252,1486298.154545
unpack_pk_n,16384,192,86,4.675583839,3504161.311766
unpack_pk_n,16384,256,64,9.253888130,1770499.034514
unpack_pk_n,16384,512,32,11.262975693,1454677.737656
unpack_pk_n,16384,1024,16,11.037695885,1484367.767616
poly_frommsg_n,16384,16,1024,0.133120000,123076922.741867
poly_frommsg_n,16384,32,512,0.143360004,114285711.233257
poly_frommsg_n,16384,64,256,0.117760003,139130431.695336
poly_frommsg_n,16384,128,128,0.111616001,146788990.124590
poly_frommsg_n,16384,192,86,0.113664001,144144142.588841
poly_frommsg_n,16384,256,64,0.114688002,142857140.897683
poly_frommsg_n,16384,512,32,0.122879997,133333336.701617
poly_frommsg_n,16384,1024,16,0.150527999,108843538.279011
polyvec_invntt_n,16384,16,1024,24.052736282,681169.901323
polyvec_invntt_n,16384,32,512,14.341119766,1142449.143935
polyvec_invntt_n,16384,64,256,11.160575867,1468024.606946
polyvec_invntt_n,16384,128,128,11.031552315,1485194.425274
polyvec_invntt_n,16384,192,86,5.746687889,2851033.554664
polyvec_invntt_n,16384,256,64,10.255359650,1597603.649185
polyvec_invntt_n,16384,512,32,10.548224449,1553247.191408
polyvec_invntt_n,16384,1024,16,14.011391640,1169334.240402
